iter	Passed	Remaining
0	79	7880
1	154	7583
2	224	7251
3	297	7143
4	374	7111
5	448	7033
6	523	6948
7	597	6869
8	671	6789
9	742	6682
10	837	6772
11	902	6615
12	990	6627
13	1079	6629
14	1168	6620
15	1272	6681
16	1378	6730
17	1457	6641
18	1535	6544
19	1587	6348
20	1663	6256
21	1718	6092
22	1760	5892
23	1832	5801
24	1908	5726
25	1983	5646
26	2055	5556
27	2129	5474
28	2202	5393
29	2273	5304
30	2343	5216
31	2421	5144
32	2494	5065
33	2581	5011
34	2659	4938
35	2713	4824
36	2783	4739
37	2859	4664
38	2931	4585
39	3000	4500
40	3070	4419
41	3148	4347
42	3222	4271
43	3301	4201
44	3382	4134
45	3458	4059
46	3537	3989
47	3615	3916
48	3686	3837
49	3769	3769
50	3848	3697
51	3922	3621
52	4002	3549
53	4105	3497
54	4197	3434
55	4296	3375
56	4348	3280
57	4445	3219
58	4527	3146
59	4627	3084
60	4724	3020
61	4814	2950
62	4860	2854
63	4948	2783
64	5026	2706
65	5096	2625
66	5168	2545
67	5252	2471
68	5353	2405
69	5455	2338
70	5543	2264
71	5630	2189
72	5659	2093
73	5728	2012
74	5766	1922
75	5817	1837
76	5856	1749
77	5888	1660
78	5947	1580
79	6029	1507
80	6101	1431
81	6131	1345
82	6161	1262
83	6231	1186
84	6314	1114
85	6357	1034
86	6456	964
87	6545	892
88	6588	814
89	6661	740
90	6730	665
91	6809	592
92	6883	518
93	6957	444
94	7021	369
95	7048	293
96	7119	220
97	7187	146
98	7261	73
99	7335	0
